CHROMATOGRAM,
lion3_spiked_ba5_1000times_1to1_lc1.raw,
Data points: 3047,
Time,Intensity
0.003698865,0
0.00833218,0
0.01165498,0
0.013979915,0
0.016302815,0
0.018625731,0
0.020950666,0
0.023273582,0
0.025598549,0
0.027921497,0
0.030244381,0
0.032569364,0
0.034892264,0
0.03721518,0
0.039540131,0
0.041863031,0
0.044188014,0
0.04651095,0
0.04883383,0
0.051158817,0
0.053481733,0
0.0558067,0
0.0581296,0
0.06045248,0
0.062777447,0
0.065100399,0
0.067425365,0
0.069748298,0
0.072071182,0
0.074396148,0
0.076719049,0
0.079041933,0
0.081366947,0
0.083689848,0
0.086014814,0
0.088337699,0
0.092841831,0
0.095164731,0
0.097489698,0
0.09981265,0
0.10213762,0
0.10446052,0
0.10678343,0
0.1091084,0
0.11143128,0
0.11375625,0
0.11607915,0
0.11840211,0
0.12072707,0
0.12304997,0
0.12537492,0
0.12769788,0
0.13002075,0
0.1323457,0
0.13466863,0
0.13699153,0
0.13931648,0
0.14163937,0
0.1439644,0
0.1462873,0
0.14861018,0
0.15093515,0
0.15325808,0
0.15558307,0
0.15790597,0
0.16022886,0
0.16255387,0
0.16487675,0
0.16719963,0
0.1695246,0
0.17184748,0
0.17635587,0
0.17868083,0
0.18100373,0
0.18332662,0
0.18565156,0
0.18797452,0
0.1902974,0
0.19262241,0
0.19494531,0
0.19727028,0
0.1995932,0
0.20191607,0
0.20424102,0
0.20656395,0
0.20888895,0
0.21121182,0
0.21353475,0
0.21585971,0
0.21818261,0
0.22050758,0
0.22283047,0
0.22515341,0
0.22747842,0
0.2298013,0
0.2321242,0
0.23444918,0
0.23677206,0
0.23909705,0
0.24141997,0
0.24374287,0
0.24606785,0
0.24839075,0
0.25071573,0
0.2530386,0
0.2553615,0
0.2598657,0
0.26219065,0
0.26451355,0
0.26683853,0
0.26916143,0
0.27148433,0
0.27380928,0
0.27613218,0
0.2784572,0
0.2807801,0
0.28310302,0
0.28542798,0
0.28775088,0
0.29007583,0
0.29239875,0
0.29472168,0
0.29704666,0
0.29937163,0
0.30169455,0
0.30401743,0
0.3063424,0
0.3086653,0
0.3109903,0
0.31331322,0
0.3156361,0
0.3179611,0
0.32028398,0
0.32260897,0
0.32493187,0
0.32725475,0
0.32957971,0
0.33190265,0
0.3342276,0
0.33655058,0
0.33887342,0
0.3433859,0
0.3457088,0
0.3480338,0
0.3503567,0
0.3526796,0
0.35500462,0
0.35732748,0
0.35965247,0
0.36197537,0
0.36429823,0
0.36662325,0
0.36894617,0
0.37127115,0
0.37359405,0
0.3759169,0
0.37824192,0
0.38056482,0
0.38288768,0
0.38521273,0
0.38753563,0
0.38986058,0
0.39218351,0
0.39450643,0
0.39683136,0
0.39915425,0
0.4014792,0
0.40380216,0
0.40612506,0
0.40845005,0
0.41077295,0
0.41309793,0
0.41542081,0
0.4177437,0
0.42006873,0
0.42239158,0
0.42688745,0
0.4292124,0
0.43153528,0
0.43385817,0
0.43618313,0
0.4385061,0
0.44083106,0
0.44315396,0
0.4454769,0
0.44780185,0
0.45012473,0
0.45244762,0
0.45477265,0
0.45709553,0
0.45942053,0
0.46174338,0
0.46406631,0
0.46639132,0
0.46871422,0
0.47103915,0
0.47336206,0
0.47568708,0
0.47801206,0
0.48033498,0
0.48265788,0
0.48498283,0
0.48730573,0
0.4896307,0
0.49195365,0
