CHROMATOGRAM,
lion3_spiked_ba5_10000times_1to1_lc1.raw,
Data points: 3590,
Time,Intensity
0.003601534,0
0.008245118,0
0.01139725,0
0.013722165,0
0.016045049,0
0.018370083,0
0.020692999,0
0.023015848,0
0.025340866,0
0.027663751,0
0.029988701,0
0.032311649,0
0.034634534,0
0.036959532,0
0.039282416,0
0.041605317,0
0.043930299,0
0.0462532,0
0.048578198,0
0.050901051,0
0.053223983,0
0.055548981,0
0.057871901,0
0.060196848,0
0.062519764,0
0.064842648,0
0.067167615,0
0.069490531,0
0.071813432,0
0.074138434,0
0.076461334,0
0.078786333,0
0.081109217,0
0.083432097,0
0.0857571,0
0.088079948,0
0.092590597,0
0.094913231,0
0.09723825,0
0.099561166,0
0.10188613,0
0.104209,0
0.10653398,0
0.10885693,0
0.11117987,0
0.11350481,0
0.11582773,0
0.11815063,0
0.12047557,0
0.12279848,0
0.12512348,0
0.1274464,0
0.1297693,0
0.13209428,0
0.13441715,0
0.13674211,0
0.13906505,0
0.14138793,0
0.14371293,0
0.14603583,0
0.14835875,0
0.15068372,0
0.1530066,0
0.1553316,0
0.15765445,0
0.1599774,0
0.16230238,0
0.16462528,0
0.16695028,0
0.16927318,0
0.17159603,0
0.17609625,0
0.17841893,0
0.18074388,0
0.18306682,0
0.1853918,0
0.1877147,0
0.19003757,0
0.19236258,0
0.19468552,0
0.19701045,0
0.19933338,0
0.20165628,0
0.20398125,0
0.20630413,0
0.20862913,0
0.21095198,0
0.21327493,0
0.21559993,0
0.21792282,0
0.22024573,0
0.22257068,0
0.22489362,0
0.22721855,0
0.22954148,0
0.23186438,0
0.23418938,0
0.23651227,0
0.23883725,0
0.24116017,0
0.24348303,0
0.24580803,0
0.24813093,0
0.25045592,0
0.25277885,0
0.25510168,0
0.25960185,0
0.2619246,0
0.26424953,0
0.26657247,0
0.26889537,0
0.27122035,0
0.27354327,0
0.27586617,0
0.27819116,0
0.28051402,0
0.28283903,0
0.28516193,0
0.28748483,0
0.2898098,0
0.29213273,0
0.2944577,0
0.29678057,0
0.2991035,0
0.30142846,0
0.30375136,0
0.30607632,0
0.30839922,0
0.31072217,0
0.31304713,0
0.31537005,0
0.3176929,0
0.32001792,0
0.32234083,0
0.32466582,0
0.32698872,0
0.32931162,0
0.33163658,0
0.33395947,0
0.33628443,0
0.33860735,0
0.34310738,0
0.34543021,0
0.34775523,0
0.35007812,0
0.35240103,0
0.35472602,0
0.35704892,0
0.35937182,0
0.36169681,0
0.36401971,0
0.36634468,0
0.36866758,0
0.37099043,0
0.37331546,0
0.37563838,0
0.3779634,0
0.38028625,0
0.38260917,0
0.38493413,0
0.387257,0
0.38958203,0
0.39190492,0
0.39422783,0
0.39655282,0
0.39887572,0
0.40120068,0
0.40352358,0
0.40584648,0
0.40817143,0
0.41049437,0
0.41281938,0
0.41514228,0
0.41746518,0
0.41979013,0
0.42211302,0
0.42660888,0
0.42893177,0
0.43125462,0
0.43357965,0
0.43590252,0
0.43822753,0
0.44055038,0
0.44287331,0
0.44519832,0
0.44752122,0
0.44984622,0
0.4521691,0
0.454492,0
0.45681697,0
0.45913988,0
0.46146488,0
0.46378775,0
0.46611067,0
0.46843565,0
0.47075855,0
0.4730835,0
0.47540643,0
0.4777293,0
0.48005431,0
0.48237721,0
0.48470222,0
0.4870251,0
0.489348,0
0.491673,0
0.49399586,0
0.49631878,0
0.49864377,0
0.50096667,0
0.50329162,0
0.50561451,0
0.51011658,0
0.51244158,0
0.51476448,0
0.51708947,0
0.51941238,0
0.52173527,0
0.52406025,0
0.52638315,0
0.52870606,0
0.531031,0
0.53335393,0
0.53567893,0
0.53800183,0
0.54032471,0
0.54264972,0
0.5449726,0
0.54729756,0
0.54962048,0
0.5519434,0
0.55426838,0
0.55659125,0
0.55891623,0
0.56123918,0
0.56356205,0
0.56588705,0
0.5682099,0
0.57053492,0
0.57285783,0
0.5751807,0
0.57750571,0
0.5798286,0
0.5821536,0
0.58447647,0
0.58679935,0
0.58912435,0
0.59362022,0
0.59594517,0
0.59826807,0
0.60059302,0
0.60291593,0
0.60523885,0
0.60756385,0
0.60988673,0
0.61220963,0
0.61453462,0
0.6168575,0
0.6191825,0
0.6215054,0
0.6238283,0
0.62615328,0
0.6284762,0
0.63080116,0
0.63312406,0
0.63544698,0
0.63777192,0
0.64009485,0
0.64241985,0
0.64474273,0
0.64706563,0
0.64939063,0
0.65171352,0
0.65403848,0
0.6563614,0
0.65868432,0
0.66100928,0
0.66333218,0
0.6656551,0
0.66798008,0
0.67030293,0
0.67262792,0
0.67713422,0
0.67945917,0
0.68178203,0
0.68410497,0
0.68642993,0
0.68875285,0
0.6910757,0
0.69340073,0
0.69572363,0
0.69804861,0
0.70037153,0
0.70269442,0
0.70501937,0
0.70734228,0
0.7096673,0
0.71199018,0
0.71431308,0
0.7166381,0
0.71896097,0
0.72128595,0
0.72360881,0
0.72593175,0
0.7282567,0
0.73057963,0
0.73290255,0
0.73522752,0
0.73755042,0
0.7398754,0
0.74219832,0
0.7445212,0
0.7468462,0
0.74916908,0
