CHROMATOGRAM,
za_7.raw,
Data points: 1955,
Time,Intensity
0.003779164,0
0.008435249,0
0.011766512,0
0.014089397,0
0.016414363,0
0.018737295,0
0.02106018,0
0.023385131,0
0.025708063,0
0.028032997,0
0.030355949,0
0.032678846,0
0.035003812,0
0.037326681,0
0.042878714,0
0.048426595,0
0.053972383,0
0.059538999,0
0.06508688,0
0.070634766,0
0.076193082,0
0.080440946,0
0.085986713,0
0.090072182,0
0.098022063,0
0.10356785,0
0.10911571,0
0.11466155,0
0.12021358,0
0.12575936,0
0.13130726,0
0.1368697,0
0.14241966,0
0.14796756,0
0.15352583,0
0.15907162,0
0.16461951,0
0.17359863,0
0.18531098,0
0.19086928,0
0.19641716,0
0.20196295,0
0.207515,0
0.2130608,0
0.21861073,0
0.22415863,0
0.2297065,0
0.23525228,0
0.24080017,0
0.24634595,0
0.25189383,0
0.26088966,0
0.27259576,0
0.28157488,0
0.29055605,0
0.2961185,0
0.3016643,0
0.31064756,0
0.31963498,0
0.32518286,0
0.33072867,0
0.33627655,0
0.3418307,0
0.35010768,0
0.35565765,0
0.36121385,0
0.36675965,0
0.37230751,0
0.38128665,0
0.3902678,0
0.39581568,0
0.40136356,0
0.4069156,0
0.41246347,0
0.42144885,0
0.43042796,0
0.43837163,0
0.4439174,0
0.44947987,0
0.45502773,0
0.46057353,0
0.46956513,0
0.47855048,0
0.48409835,0
0.48964417,0
0.4951962,0
0.50074408,0
0.50629196,0
0.51425855,0
0.51980643,0
0.5253543,0
0.53091258,0
0.5364584,0
0.54200628,0
0.5475604,0
0.55310828,0
0.55865823,0
0.56420403,0
0.5697519,0
0.57529976,0
0.58084765,0
0.58639968,0
0.5919455,0
0.5998871,0
0.60543495,0
0.61441408,0
0.62339525,0
0.62895353,0
0.63449933,0
0.6400472,0
0.64559925,0
0.65114713,0
0.65669502,0
0.66225538,0
0.66780326,0
0.67335115,0
0.68129485,0
0.68685936,0
0.69240932,0
0.69795513,0
0.70350715,0
0.70905295,0
0.71460293,0
0.72017161,0
0.72571948,0
0.73126738,0
0.73681732,0
0.7423652,0
0.74791935,0
0.7534672,0
0.76244635,0
0.77415663,0
0.78313363,0
0.79211276,0
0.79766063,0
0.80321893,0
0.8087668,0
0.81431683,0
0.8185751,0
0.820898,0
0.82322295,0
0.84233323,0
0.86403096,0
0.87912878,0
0.89559323,0
0.91240772,0
0.92986798,0
0.95029073,0
0.96642607,0
0.98240933,0
0.99925286,0
1.0163924,0
1.0355714,0
1.0524108,0
1.0691795,0
1.0859668,0
1.1027688,0
1.1194916,0
1.1362685,0
1.1529517,0
1.1698537,0
1.1898036,0
1.2077326,0
1.2266991,0
1.2459281,0
1.2644572,0
1.2827487,0
1.300959,0
1.3194401,0
1.3387733,0
1.3597002,0
1.37915,0
1.3985312,0
1.4179456,0
1.4372038,0
1.4591369,0
1.4782723,0
1.4963054,0
1.5142199,0
1.5294115,0
1.542351,0
1.5565071,0
1.5706986,0
1.5843381,0
