Bile,delta,count
Trihydroxy,36.02,37572
Trihydroxy,18.01,21762
Trihydroxy,54.03,17942
Trihydroxy,72.04,17405
Dihydroxy,54.03,16271
Trihydroxy,203.99,15155
Tetrahydroxy,36.02,15149
Trihydroxy,88.99,14709
Tetrahydroxy,18.01,14372
Trihydroxy,70.98,13348
Trihydroxy,52.97,11738
Dihydroxy,36.02,11072
Dihydroxy,18.01,10927
Dihydroxy,70.98,10789
Tetrahydroxy,54.03,9304
Trihydroxy,0.98,8992
Trihydroxy,124.03,7998
Trihydroxy,17.03,7869
Trihydroxy,186.96,7005
Tetrahydroxy,72.04,6844
Trihydroxy,107,6388
Dihydroxy,392.29,5313
Trihydroxy,408.29,5180
Dihydroxy,21,4933
Dihydroxy,88.99,4664
Dihydroxy,203.99,4554
Tetrahydroxy,0.98,4309
Trihydroxy,57.02,3992
Monohydroxy,36.02,3940
Dihydroxy,39.01,3505
Pentahydroxy,36.02,3492
Trihydroxy,39.01,3453
Tetrahydroxy,17.03,3330
Trihydroxy,0,2923
Trihydroxy,107.01,2895
Dihydroxy,57.02,2878
Trihydroxy,74.07,2833
Pentahydroxy,18.01,2785
Tetrahydroxy,90.05,2750
Tetrahydroxy,88.99,2725
Dihydroxy,17.03,2709
Monohydroxy,18.01,2608
Trihydroxy,21,2512
Dihydroxy,374.28,2510
Dihydroxy,107,2466
Tetrahydroxy,52.97,2356
Pentahydroxy,54.03,2342
Dihydroxy,55.02,2335
Dihydroxy,124.03,2146
Trihydroxy,2.99,2097
Pentahydroxy,90.07,1968
Dihydroxy,17.01,1932
Tetrahydroxy,70.98,1929
Tetrahydroxy,106.02,1876
Tetrahydroxy,55.02,1856
Dihydroxy,37.01,1854
Monohydroxy,39.01,1826
Dihydroxy,22.01,1567
Trihydroxy,89,1559
Trihydroxy,372.27,1532
Trihydroxy,20.03,1526
Trihydroxy,35.02,1514
Trihydroxy,38.04,1513
Trihydroxy,73.03,1495
Tetrahydroxy,0,1494
Trihydroxy,17.01,1452
Trihydroxy,22.01,1389
Trihydroxy,39.49,1319
Trihydroxy,168.95,1300
Dihydroxy,53.03,1265
Tetrahydroxy,168.95,1254
Trihydroxy,73.04,1245
Tetrahydroxy,185.98,1244
Dihydroxy,20.03,1239
Pentahydroxy,52.97,1220
Trihydroxy,223.12,1198
Tetrahydroxy,107.01,1194
Trihydroxy,221.01,1112
Monohydroxy,63.4,1085
Trihydroxy,37.01,1076
Monohydroxy,88.99,1047
Trihydroxy,60,1008
Trihydroxy,72.06,1004
Trihydroxy,188.96,951
Trihydroxy,59.04,929
Trihydroxy,3.99,922
Trihydroxy,70.99,862
Trihydroxy,74.08,862
Trihydroxy,203.98,858
Trihydroxy,390.28,857
Dihydroxy,233.05,856
Trihydroxy,622.3,820
Trihydroxy,4,811
Dihydroxy,0.98,788
Tetrahydroxy,89,782
Trihydroxy,61.95,757
Trihydroxy,187.99,742
Trihydroxy,246,737
Dihydroxy,286.21,725
Tetrahydroxy,405.29,705
Tetrahydroxy,388.26,704
Trihydroxy,406.27,704
Trihydroxy,104.99,700
Trihydroxy,2.02,699
Dihydroxy,23.02,696
Trihydroxy,52.98,695
Dihydroxy,35.02,689
Dihydroxy,54.05,674
Dihydroxy,73.03,663
Dihydroxy,173.13,661
Trihydroxy,74.05,653
Pentahydroxy,0.98,649
Tetrahydroxy,20.03,641
Dihydroxy,59.04,628
Trihydroxy,41.03,618
Tetrahydroxy,39.01,618
Dihydroxy,210.82,604
Trihydroxy,13.03,603
Dihydroxy,107.01,599
Trihydroxy,40.02,584
Tetrahydroxy,37.01,583
Pentahydroxy,54.14,571
Tetrahydroxy,390.28,570
Tetrahydroxy,216.15,565
Trihydroxy,389.29,564
Trihydroxy,56.05,560
Tetrahydroxy,107,557
Tetrahydroxy,38.04,541
Trihydroxy,216.15,541
Tetrahydroxy,124.03,540
Trihydroxy,53.03,530
Trihydroxy,137.98,528
Dihydroxy,54.11,518
Dihydroxy,250.08,517
Dihydroxy,203.98,514
Trihydroxy,484.58,512
Trihydroxy,147.07,510
Dihydroxy,248.52,508
Trihydroxy,122.02,507
Trihydroxy,37.92,504
Dihydroxy,4.01,504
Tetrahydroxy,21,501
Dihydroxy,0,498
Trihydroxy,19,492
Trihydroxy,55.02,485
Trihydroxy,113.09,480
Trihydroxy,493.1,476
Trihydroxy,484.59,476
Dihydroxy,71.04,470
Trihydroxy,106.02,468
Trihydroxy,391.31,468
Dihydroxy,4,465
Dihydroxy,5.01,460
Pentahydroxy,150.94,456
Trihydroxy,43.94,454
Trihydroxy,40.03,451
Trihydroxy,68.97,449
Dihydroxy,38.04,442
Trihydroxy,232.02,439
Dihydroxy,104.99,431
Dihydroxy,356.27,429
Nonhydroxy,18.01,429
Tetrahydroxy,61.95,425
Trihydroxy,136.98,423
Dihydroxy,118.97,418
Dihydroxy,399.3,416
Tetrahydroxy,34.96,415
Pentahydroxy,92.08,414
Dihydroxy,595.25,414
Trihydroxy,54.05,411
Pentahydroxy,90.05,410
Trihydroxy,622.29,407
Dihydroxy,22,398
Trihydroxy,1,396
Trihydroxy,5.01,392
